Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit, Profit Value , Loss Value ,Date,Month,Quarter,Customer_Name,Product_Name,Country,Profit/Loss
Enterprise,CUST_ID_007,PROD_ID_003,Low,923,120,125,"115,375.00",1153.75,"114,221.25","110,760.00","3,461.25"," 3,461.25 ",  ,04/04/2022,Apr,Q2,Ethan Miller,Velo,India,Profit
Government,CUST_ID_056,PROD_ID_004,Low,263,250,7,"1,841.00",18.41,"1,822.59","1,315.00",507.59, 507.59 ,  ,22/12/2022,Dec,Q4,Amelia Perez,VTT,Japan,Profit
Government,CUST_ID_055,PROD_ID_004,Low,943.5,250,350,"330,225.00",3302.25,"326,922.75","245,310.00","81,612.75"," 81,612.75 ",  ,21/09/2021,Sep,Q3,Henry Turner,VTT,India,Profit
Enterprise,CUST_ID_117,PROD_ID_004,Low,727,250,125,"90,875.00",908.75,"89,966.25","87,240.00","2,726.25"," 2,726.25 ",  ,30/04/2021,Apr,Q2,Jackson Hill,VTT,Germany,Profit
Enterprise,CUST_ID_118,PROD_ID_004,Low,787,250,125,"98,375.00",983.75,"97,391.25","94,440.00","2,951.25"," 2,951.25 ",  ,27/05/2021,May,Q2,Abigail Martin,VTT,Italy,Profit
Small Business,CUST_ID_032,PROD_ID_004,Low,986,250,300,"295,800.00",2958,"292,842.00","246,500.00","46,342.00"," 46,342.00 ",  ,09/10/2022,Oct,Q4,Mia White,VTT,Japan,Profit
Government,CUST_ID_034,PROD_ID_004,Low,"1,397.00",250,350,"488,950.00",4889.5,"484,060.50","363,220.00","120,840.50"," 120,840.50 ",  ,09/10/2022,Oct,Q4,Charlotte Davis,VTT,Canada,Profit
Enterprise,CUST_ID_118,PROD_ID_004,Low,"1,744.00",250,125,"218,000.00",2180,"215,820.00","209,280.00","6,540.00"," 6,540.00 ",  ,21/09/2021,Sep,Q3,Abigail Martin,VTT,Italy,Profit
Enterprise,CUST_ID_094,PROD_ID_005,Low,742.5,3,125,"92,812.50",1856.25,"90,956.25","89,100.00","1,856.25"," 1,856.25 ",  ,27/05/2022,May,Q2,Abigail Martin,Carretera,Italy,Profit
Channel Partners,CUST_ID_036,PROD_ID_005,Low,"1,295.00",3,12,"15,540.00",310.8,"15,229.20","3,885.00","11,344.20"," 11,344.20 ",  ,03/05/2021,May,Q2,Harper Anderson,Carretera,France,Profit
Government,CUST_ID_042,PROD_ID_005,Low,"2,852.00",3,350,"998,200.00",19964,"978,236.00","741,520.00","236,716.00"," 236,716.00 ",  ,20/07/2021,Jul,Q3,Emily Garcia,Carretera,Canada,Profit
Channel Partners,CUST_ID_119,PROD_ID_001,Low,"1,142.00",5,12,"13,704.00",274.08,"13,429.92","3,426.00","10,003.92"," 10,003.92 ",  ,10/11/2022,Nov,Q4,Aiden Garcia,Montana,India,Profit
Government,CUST_ID_099,PROD_ID_001,Low,"1,566.00",5,20,"31,320.00",626.4,"30,693.60","15,660.00","15,033.60"," 15,033.60 ",  ,17/07/2021,Jul,Q3,Logan Martin,Montana,England,Profit
Channel Partners,CUST_ID_120,PROD_ID_001,Low,690,5,12,"8,280.00",165.6,"8,114.40","2,070.00","6,044.40"," 6,044.40 ",  ,26/07/2022,Jul,Q3,Emily Hill,Montana,Japan,Profit
Midmarket,CUST_ID_006,PROD_ID_002,Low,"2,363.00",10,15,"35,445.00",708.9,"34,736.10","23,630.00","11,106.10"," 11,106.10 ",  ,24/10/2022,Oct,Q4,Ava Davis,Paseo,Italy,Profit
Small Business,CUST_ID_121,PROD_ID_002,Low,918,10,300,"275,400.00",5508,"269,892.00","229,500.00","40,392.00"," 40,392.00 ",  ,02/06/2021,Jun,Q2,Benjamin Phillips,Paseo,USA,Profit
Small Business,CUST_ID_069,PROD_ID_002,Low,"1,728.00",10,300,"518,400.00",10368,"508,032.00","432,000.00","76,032.00"," 76,032.00 ",  ,29/07/2021,Jul,Q3,Jackson Hill,Paseo,Germany,Profit
Channel Partners,CUST_ID_005,PROD_ID_002,Low,"1,142.00",10,12,"13,704.00",274.08,"13,429.92","3,426.00","10,003.92"," 10,003.92 ",  ,20/05/2021,May,Q2,Liam Jones,Paseo,Germany,Profit
Enterprise,CUST_ID_024,PROD_ID_002,Low,662,10,125,"82,750.00",1655,"81,095.00","79,440.00","1,655.00"," 1,655.00 ",  ,01/05/2021,May,Q2,Elizabeth Green,Paseo,Japan,Profit
Channel Partners,CUST_ID_060,PROD_ID_002,Low,"1,295.00",10,12,"15,540.00",310.8,"15,229.20","3,885.00","11,344.20"," 11,344.20 ",  ,23/02/2021,Feb,Q1,Emily Garcia,Paseo,France,Profit
Small Business,CUST_ID_070,PROD_ID_002,Low,"1,916.00",10,300,"574,800.00",11496,"563,304.00","479,000.00","84,304.00"," 84,304.00 ",  ,16/12/2021,Dec,Q4,Abigail Garcia,Paseo,Italy,Profit
Government,CUST_ID_004,PROD_ID_002,Low,"2,852.00",10,350,"998,200.00",19964,"978,236.00","741,520.00","236,716.00"," 236,716.00 ",  ,19/04/2021,Apr,Q2,Olivia Brown,Paseo,France,Profit
Enterprise,CUST_ID_122,PROD_ID_002,Low,"2,729.00",10,125,"341,125.00",6822.5,"334,302.50","327,480.00","6,822.50"," 6,822.50 ",  ,04/12/2021,Dec,Q4,Mia Turner,Paseo,Canada,Profit
Channel Partners,CUST_ID_025,PROD_ID_002,Low,"1,055.00",10,12,"12,660.00",253.2,"12,406.80","3,165.00","9,241.80"," 9,241.80 ",  ,06/02/2021,Feb,Q1,Alexander Perez,Paseo,USA,Profit
Channel Partners,CUST_ID_071,PROD_ID_002,Low,"1,084.00",10,12,"13,008.00",260.16,"12,747.84","3,252.00","9,495.84"," 9,495.84 ",  ,19/04/2022,Apr,Q2,Aiden Perez,Paseo,India,Profit
Government,CUST_ID_041,PROD_ID_003,Low,"1,566.00",120,20,"31,320.00",626.4,"30,693.60","15,660.00","15,033.60"," 15,033.60 ",  ,28/08/2022,Aug,Q3,Aiden Clark,Velo,USA,Profit
Government,CUST_ID_028,PROD_ID_003,Low,"2,877.00",120,350,"1,006,950.00",20139,"986,811.00","748,020.00","238,791.00"," 238,791.00 ",  ,17/09/2022,Sep,Q3,Sofia Phillips,Velo,France,Profit
Channel Partners,CUST_ID_123,PROD_ID_003,Low,"1,055.00",120,12,"12,660.00",253.2,"12,406.80","3,165.00","9,241.80"," 9,241.80 ",  ,14/12/2021,Dec,Q4,Logan Martin,Velo,England,Profit
Channel Partners,CUST_ID_124,PROD_ID_003,Low,"1,084.00",120,12,"13,008.00",260.16,"12,747.84","3,252.00","9,495.84"," 9,495.84 ",  ,09/04/2022,Apr,Q2,Charlotte Garcia,Velo,France,Profit
Enterprise,CUST_ID_125,PROD_ID_004,Low,662,250,125,"82,750.00",1655,"81,095.00","79,440.00","1,655.00"," 1,655.00 ",  ,06/12/2022,Dec,Q4,Samuel Hill,VTT,Germany,Profit
Government,CUST_ID_056,PROD_ID_004,Low,"2,877.00",250,350,"1,006,950.00",20139,"986,811.00","748,020.00","238,791.00"," 238,791.00 ",  ,16/11/2022,Nov,Q4,Amelia Perez,VTT,Japan,Profit
Enterprise,CUST_ID_105,PROD_ID_004,Low,"2,729.00",250,125,"341,125.00",6822.5,"334,302.50","327,480.00","6,822.50"," 6,822.50 ",  ,13/12/2022,Dec,Q4,Jackson Turner,VTT,USA,Profit
Small Business,CUST_ID_126,PROD_ID_006,Low,259,260,300,"77,700.00",1554,"76,146.00","64,750.00","11,396.00"," 11,396.00 ",  ,26/02/2022,Feb,Q1,Harper Phillips,Amarilla,Italy,Profit
Small Business,CUST_ID_127,PROD_ID_006,Low,"1,101.00",260,300,"330,300.00",6606,"323,694.00","275,250.00","48,444.00"," 48,444.00 ",  ,25/09/2022,Sep,Q3,Henry Martin,Amarilla,India,Profit
Enterprise,CUST_ID_073,PROD_ID_006,Low,"2,276.00",260,125,"284,500.00",5690,"278,810.00","273,120.00","5,690.00"," 5,690.00 ",  ,23/09/2022,Sep,Q3,Benjamin Phillips,Amarilla,USA,Profit
Government,CUST_ID_064,PROD_ID_006,Low,"1,236.00",260,20,"24,720.00",494.4,"24,225.60","12,360.00","11,865.60"," 11,865.60 ",  ,03/02/2021,Feb,Q1,Charlotte Anderson,Amarilla,Japan,Profit
Government,CUST_ID_065,PROD_ID_006,Low,941,260,20,"18,820.00",376.4,"18,443.60","9,410.00","9,033.60"," 9,033.60 ",  ,19/11/2022,Nov,Q4,Samuel Wilson,Amarilla,USA,Profit
Small Business,CUST_ID_128,PROD_ID_006,Low,"1,916.00",260,300,"574,800.00",11496,"563,304.00","479,000.00","84,304.00"," 84,304.00 ",  ,30/05/2022,May,Q2,Amelia Hill,Amarilla,Japan,Profit
Enterprise,CUST_ID_085,PROD_ID_005,Low,"4,243.50",3,125,"530,437.50",15913.125,"514,524.38","509,220.00","5,304.38"," 5,304.38 ",  ,28/04/2021,Apr,Q2,Benjamin Garcia,Carretera,Germany,Profit
Government,CUST_ID_048,PROD_ID_005,Low,"2,580.00",3,20,"51,600.00",1548,"50,052.00","25,800.00","24,252.00"," 24,252.00 ",  ,09/04/2022,Apr,Q2,Sofia Turner,Carretera,Japan,Profit
Small Business,CUST_ID_020,PROD_ID_005,Low,689,3,300,"206,700.00",6201,"200,499.00","172,250.00","28,249.00"," 28,249.00 ",  ,23/10/2022,Oct,Q4,Abigail Robinson,Carretera,France,Profit
Channel Partners,CUST_ID_084,PROD_ID_005,Low,"1,947.00",3,12,"23,364.00",700.92,"22,663.08","5,841.00","16,822.08"," 16,822.08 ",  ,23/04/2022,Apr,Q2,Emily Martin,Carretera,France,Profit
Government,CUST_ID_037,PROD_ID_001,Low,"1,958.00",5,7,"13,706.00",411.18,"13,294.82","9,790.00","3,504.82"," 3,504.82 ",  ,26/05/2022,May,Q2,Henry Martinez,Montana,Germany,Profit
Channel Partners,CUST_ID_129,PROD_ID_001,Low,"1,901.00",5,12,"22,812.00",684.36,"22,127.64","5,703.00","16,424.64"," 16,424.64 ",  ,13/03/2022,Mar,Q1,Jackson Turner,Montana,USA,Profit
Government,CUST_ID_059,PROD_ID_001,Low,544,5,7,"3,808.00",114.24,"3,693.76","2,720.00",973.76, 973.76 ,  ,23/07/2021,Jul,Q3,Aiden Martin,Montana,England,Profit
Enterprise,CUST_ID_079,PROD_ID_001,Low,"1,287.00",5,125,"160,875.00",4826.25,"156,048.75","154,440.00","1,608.75"," 1,608.75 ",  ,27/09/2021,Sep,Q3,Henry Turner,Montana,India,Profit
Enterprise,CUST_ID_068,PROD_ID_001,Low,"1,706.00",5,125,"213,250.00",6397.5,"206,852.50","204,720.00","2,132.50"," 2,132.50 ",  ,15/05/2021,May,Q2,Amelia Martin,Montana,France,Profit
Small Business,CUST_ID_121,PROD_ID_002,Low,"2,434.50",10,300,"730,350.00",21910.5,"708,439.50","608,625.00","99,814.50"," 99,814.50 ",  ,25/05/2022,May,Q2,Benjamin Phillips,Paseo,USA,Profit
Enterprise,CUST_ID_122,PROD_ID_002,Low,"1,774.00",10,125,"221,750.00",6652.5,"215,097.50","212,880.00","2,217.50"," 2,217.50 ",  ,03/10/2022,Oct,Q4,Mia Turner,Paseo,Canada,Profit
Channel Partners,CUST_ID_025,PROD_ID_002,Low,"1,901.00",10,12,"22,812.00",684.36,"22,127.64","5,703.00","16,424.64"," 16,424.64 ",  ,14/01/2021,Jan,Q1,Alexander Perez,Paseo,USA,Profit
Small Business,CUST_ID_069,PROD_ID_002,Low,689,10,300,"206,700.00",6201,"200,499.00","172,250.00","28,249.00"," 28,249.00 ",  ,14/12/2021,Dec,Q4,Jackson Hill,Paseo,Germany,Profit
Enterprise,CUST_ID_023,PROD_ID_002,Low,"1,570.00",10,125,"196,250.00",5887.5,"190,362.50","188,400.00","1,962.50"," 1,962.50 ",  ,14/06/2022,Jun,Q2,Sebastian Lee,Paseo,India,Profit
Channel Partners,CUST_ID_005,PROD_ID_002,Low,"1,369.50",10,12,"16,434.00",493.02,"15,940.98","4,108.50","11,832.48"," 11,832.48 ",  ,06/06/2021,Jun,Q2,Liam Jones,Paseo,Germany,Profit
Enterprise,CUST_ID_122,PROD_ID_002,Low,"2,009.00",10,125,"251,125.00",7533.75,"243,591.25","241,080.00","2,511.25"," 2,511.25 ",  ,07/01/2021,Jan,Q1,Mia Turner,Paseo,Canada,Profit
Enterprise,CUST_ID_051,PROD_ID_002,Low,"1,287.00",10,125,"160,875.00",4826.25,"156,048.75","154,440.00","1,608.75"," 1,608.75 ",  ,31/05/2021,May,Q2,Logan Phillips,Paseo,England,Profit
Enterprise,CUST_ID_023,PROD_ID_002,Low,"1,706.00",10,125,"213,250.00",6397.5,"206,852.50","204,720.00","2,132.50"," 2,132.50 ",  ,17/07/2022,Jul,Q3,Sebastian Lee,Paseo,India,Profit
Enterprise,CUST_ID_007,PROD_ID_003,Low,"2,009.00",120,125,"251,125.00",7533.75,"243,591.25","241,080.00","2,511.25"," 2,511.25 ",  ,11/02/2022,Feb,Q1,Ethan Miller,Velo,India,Profit
Small Business,CUST_ID_075,PROD_ID_004,Low,"2,844.00",250,300,"853,200.00",25596,"827,604.00","711,000.00","116,604.00"," 116,604.00 ",  ,24/04/2022,Apr,Q2,Logan Martin,VTT,England,Profit
Channel Partners,CUST_ID_089,PROD_ID_004,Low,"1,916.00",250,12,"22,992.00",689.76,"22,302.24","5,748.00","16,554.24"," 16,554.24 ",  ,23/09/2021,Sep,Q3,Samuel Turner,VTT,USA,Profit
Enterprise,CUST_ID_130,PROD_ID_004,Low,"1,570.00",250,125,"196,250.00",5887.5,"190,362.50","188,400.00","1,962.50"," 1,962.50 ",  ,08/03/2021,Mar,Q1,Abigail Phillips,VTT,Canada,Profit
Small Business,CUST_ID_063,PROD_ID_004,Low,"1,874.00",250,300,"562,200.00",16866,"545,334.00","468,500.00","76,834.00"," 76,834.00 ",  ,11/04/2021,Apr,Q2,Logan Clark,VTT,India,Profit
Government,CUST_ID_034,PROD_ID_004,Low,"1,642.00",250,350,"574,700.00",17241,"557,459.00","426,920.00","130,539.00"," 130,539.00 ",  ,21/12/2021,Dec,Q4,Charlotte Davis,VTT,Canada,Profit
Government,CUST_ID_042,PROD_ID_005,Low,831,3,20,"16,620.00",498.6,"16,121.40","8,310.00","7,811.40"," 7,811.40 ",  ,20/12/2021,Dec,Q4,Emily Garcia,Carretera,Canada,Profit
Government,CUST_ID_016,PROD_ID_003,Low,"3,850.50",120,20,"77,010.00",2310.3,"74,699.70","38,505.00","36,194.70"," 36,194.70 ",  ,02/12/2021,Dec,Q4,Harper Davis,Velo,Japan,Profit
Channel Partners,CUST_ID_067,PROD_ID_004,Low,"2,479.00",250,12,"29,748.00",892.44,"28,855.56","7,437.00","21,418.56"," 21,418.56 ",  ,14/12/2022,Dec,Q4,Henry Phillips,VTT,England,Profit
Midmarket,CUST_ID_112,PROD_ID_001,Low,"2,031.00",5,15,"30,465.00",1218.6,"29,246.40","20,310.00","8,936.40"," 8,936.40 ",  ,21/04/2022,Apr,Q2,Charlotte Hill,Montana,Japan,Profit
Midmarket,CUST_ID_044,PROD_ID_002,Low,"2,031.00",10,15,"30,465.00",1218.6,"29,246.40","20,310.00","8,936.40"," 8,936.40 ",  ,23/12/2022,Dec,Q4,Elizabeth Martin,Paseo,France,Profit
Small Business,CUST_ID_020,PROD_ID_005,Low,"2,021.00",3,300,"606,300.00",24252,"582,048.00","505,250.00","76,798.00"," 76,798.00 ",  ,06/09/2021,Sep,Q3,Abigail Robinson,Carretera,France,Profit
Government,CUST_ID_057,PROD_ID_005,Low,274,3,350,"95,900.00",3836,"92,064.00","71,240.00","20,824.00"," 20,824.00 ",  ,09/06/2022,Jun,Q2,Jackson Hill,Carretera,USA,Profit
Midmarket,CUST_ID_131,PROD_ID_001,Low,"1,967.00",5,15,"29,505.00",1180.2,"28,324.80","19,670.00","8,654.80"," 8,654.80 ",  ,28/11/2022,Nov,Q4,Aiden Hill,Montana,England,Profit
Small Business,CUST_ID_080,PROD_ID_001,Low,"1,859.00",5,300,"557,700.00",22308,"535,392.00","464,750.00","70,642.00"," 70,642.00 ",  ,20/05/2022,May,Q2,Amelia Martin,Montana,Japan,Profit
Small Business,CUST_ID_080,PROD_ID_001,Low,"2,021.00",5,300,"606,300.00",24252,"582,048.00","505,250.00","76,798.00"," 76,798.00 ",  ,06/06/2022,Jun,Q2,Amelia Martin,Montana,Japan,Profit
Enterprise,CUST_ID_022,PROD_ID_001,Low,"1,138.00",5,125,"142,250.00",5690,"136,560.00","136,560.00",  -   ,   -    ,  ,04/11/2022,Nov,Q4,Emily Clark,Montana,Italy,Profit
Government,CUST_ID_004,PROD_ID_002,Low,"4,251.00",10,7,"29,757.00",1190.28,"28,566.72","21,255.00","7,311.72"," 7,311.72 ",  ,05/05/2021,May,Q2,Olivia Brown,Paseo,France,Profit
Enterprise,CUST_ID_023,PROD_ID_002,Low,795,10,125,"99,375.00",3975,"95,400.00","95,400.00",  -   ,   -    ,  ,09/11/2022,Nov,Q4,Sebastian Lee,Paseo,India,Profit
Small Business,CUST_ID_069,PROD_ID_002,Low,"1,414.50",10,300,"424,350.00",16974,"407,376.00","353,625.00","53,751.00"," 53,751.00 ",  ,24/02/2021,Feb,Q1,Jackson Hill,Paseo,Germany,Profit
Small Business,CUST_ID_116,PROD_ID_002,Low,"2,918.00",10,300,"875,400.00",35016,"840,384.00","729,500.00","110,884.00"," 110,884.00 ",  ,31/08/2021,Aug,Q3,Amelia Phillips,Paseo,France,Profit
Government,CUST_ID_027,PROD_ID_002,Low,"3,450.00",10,350,"1,207,500.00",48300,"1,159,200.00","897,000.00","262,200.00"," 262,200.00 ",  ,27/07/2022,Jul,Q3,Michael Hill,Paseo,England,Profit
Enterprise,CUST_ID_051,PROD_ID_002,Low,"2,988.00",10,125,"373,500.00",14940,"358,560.00","358,560.00",  -   ,   -    ,  ,29/01/2022,Jan,Q1,Logan Phillips,Paseo,England,Profit
Midmarket,CUST_ID_006,PROD_ID_002,Low,218,10,15,"3,270.00",130.8,"3,139.20","2,180.00",959.2, 959.20 ,  ,05/04/2022,Apr,Q2,Ava Davis,Paseo,Italy,Profit
Government,CUST_ID_004,PROD_ID_002,Low,"2,074.00",10,20,"41,480.00",1659.2,"39,820.80","20,740.00","19,080.80"," 19,080.80 ",  ,30/12/2022,Dec,Q4,Olivia Brown,Paseo,France,Profit
Government,CUST_ID_027,PROD_ID_002,Low,"1,056.00",10,20,"21,120.00",844.8,"20,275.20","10,560.00","9,715.20"," 9,715.20 ",  ,16/03/2022,Mar,Q1,Michael Hill,Paseo,England,Profit
Government,CUST_ID_027,PROD_ID_002,Low,274,10,350,"95,900.00",3836,"92,064.00","71,240.00","20,824.00"," 20,824.00 ",  ,16/11/2021,Nov,Q4,Michael Hill,Paseo,England,Profit
Enterprise,CUST_ID_024,PROD_ID_002,Low,"1,138.00",10,125,"142,250.00",5690,"136,560.00","136,560.00",  -   ,   -    ,  ,19/02/2021,Feb,Q1,Elizabeth Green,Paseo,Japan,Profit
Channel Partners,CUST_ID_132,PROD_ID_003,Low,"1,465.00",120,12,"17,580.00",703.2,"16,876.80","4,395.00","12,481.80"," 12,481.80 ",  ,26/12/2022,Dec,Q4,Emily Martin,Velo,France,Profit
Government,CUST_ID_054,PROD_ID_003,Low,"2,177.00",120,350,"761,950.00",30478,"731,472.00","566,020.00","165,452.00"," 165,452.00 ",  ,18/05/2022,May,Q2,Harper Wilson,Velo,Italy,Profit
Channel Partners,CUST_ID_081,PROD_ID_004,Low,866,250,12,"10,392.00",415.68,"9,976.32","2,598.00","7,378.32"," 7,378.32 ",  ,30/06/2021,Jun,Q2,Jackson Lewis,VTT,USA,Profit
Government,CUST_ID_008,PROD_ID_004,Low,"2,177.00",250,350,"761,950.00",30478,"731,472.00","566,020.00","165,452.00"," 165,452.00 ",  ,02/03/2021,Mar,Q1,Isabella Wilson,VTT,Japan,Profit
Government,CUST_ID_093,PROD_ID_006,Low,"1,865.00",260,350,"652,750.00",26110,"626,640.00","484,900.00","141,740.00"," 141,740.00 ",  ,10/01/2021,Jan,Q1,Jackson Hill,Amarilla,Germany,Profit
Enterprise,CUST_ID_092,PROD_ID_006,Low,"1,074.00",260,125,"134,250.00",5370,"128,880.00","128,880.00",  -   ,   -    ,  ,13/05/2022,May,Q2,Amelia Phillips,Amarilla,France,Profit
Government,CUST_ID_035,PROD_ID_006,Low,"1,907.00",260,350,"667,450.00",26698,"640,752.00","495,820.00","144,932.00"," 144,932.00 ",  ,10/12/2021,Dec,Q4,Samuel Johnson,Amarilla,England,Profit
Government,CUST_ID_072,PROD_ID_002,Medium,"1,372.00",10,7,"9,604.00",480.2,"9,123.80","6,860.00","2,263.80"," 2,263.80 ",  ,07/04/2022,Apr,Q2,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_040,PROD_ID_002,Medium,"2,689.00",10,7,"18,823.00",941.15,"17,881.85","13,445.00","4,436.85"," 4,436.85 ",  ,03/02/2022,Feb,Q1,Abigail Lewis,Paseo,Japan,Profit
Channel Partners,CUST_ID_060,PROD_ID_002,Medium,"2,431.00",10,12,"29,172.00",1458.6,"27,713.40","7,293.00","20,420.40"," 20,420.40 ",  ,10/12/2022,Dec,Q4,Emily Garcia,Paseo,France,Profit
Channel Partners,CUST_ID_133,PROD_ID_003,Medium,"2,431.00",120,12,"29,172.00",1458.6,"27,713.40","7,293.00","20,420.40"," 20,420.40 ",  ,08/11/2022,Nov,Q4,Benjamin Garcia,Velo,Germany,Profit
Government,CUST_ID_034,PROD_ID_004,Medium,"2,689.00",250,7,"18,823.00",941.15,"17,881.85","13,445.00","4,436.85"," 4,436.85 ",  ,14/07/2021,Jul,Q3,Charlotte Davis,VTT,Canada,Profit
Government,CUST_ID_093,PROD_ID_006,Medium,"1,683.00",260,7,"11,781.00",589.05,"11,191.95","8,415.00","2,776.95"," 2,776.95 ",  ,16/01/2022,Jan,Q1,Jackson Hill,Amarilla,Germany,Profit
Channel Partners,CUST_ID_076,PROD_ID_006,Medium,"1,123.00",260,12,"13,476.00",673.8,"12,802.20","3,369.00","9,433.20"," 9,433.20 ",  ,01/01/2022,Jan,Q1,Charlotte Garcia,Amarilla,France,Profit
Channel Partners,CUST_ID_088,PROD_ID_005,Medium,"1,865.00",3,12,"22,380.00",1119,"21,261.00","5,595.00","15,666.00"," 15,666.00 ",  ,13/01/2022,Jan,Q1,Charlotte Hill,Carretera,Japan,Profit
Channel Partners,CUST_ID_010,PROD_ID_005,Medium,"1,116.00",3,12,"13,392.00",669.6,"12,722.40","3,348.00","9,374.40"," 9,374.40 ",  ,29/05/2021,May,Q2,Sophia Anderson,Carretera,Canada,Profit
Government,CUST_ID_021,PROD_ID_005,Medium,"1,563.00",3,20,"31,260.00",1563,"29,697.00","15,630.00","14,067.00"," 14,067.00 ",  ,09/08/2021,Aug,Q3,Aiden Lewis,Carretera,Germany,Profit
Small Business,CUST_ID_134,PROD_ID_005,Medium,991,3,300,"297,300.00",14865,"282,435.00","247,750.00","34,685.00"," 34,685.00 ",  ,23/12/2022,Dec,Q4,Mia Hill,Carretera,Italy,Profit
Midmarket,CUST_ID_108,PROD_ID_005,Medium,"2,791.00",3,15,"41,865.00",2093.25,"39,771.75","27,910.00","11,861.75"," 11,861.75 ",  ,06/09/2021,Sep,Q3,Emily Martin,Carretera,France,Profit
Government,CUST_ID_057,PROD_ID_005,Medium,570,3,7,"3,990.00",199.5,"3,790.50","2,850.00",940.5, 940.50 ,  ,05/04/2021,Apr,Q2,Jackson Hill,Carretera,USA,Profit
Government,CUST_ID_021,PROD_ID_005,Medium,"2,487.00",3,7,"17,409.00",870.45,"16,538.55","12,435.00","4,103.55"," 4,103.55 ",  ,08/08/2022,Aug,Q3,Aiden Lewis,Carretera,Germany,Profit
Government,CUST_ID_059,PROD_ID_001,Medium,"1,384.50",5,350,"484,575.00",24228.75,"460,346.25","359,970.00","100,376.25"," 100,376.25 ",  ,24/06/2021,Jun,Q2,Aiden Martin,Montana,England,Profit
Enterprise,CUST_ID_013,PROD_ID_001,Medium,"3,627.00",5,125,"453,375.00",22668.75,"430,706.25","435,240.00","-4,533.75",  ," 4,533.75 ",06/06/2021,Jun,Q2,Logan Jackson,Montana,Germany,Loss
Channel Partners,CUST_ID_111,PROD_ID_001,Medium,"2,342.00",5,12,"28,104.00",1405.2,"26,698.80","7,026.00","19,672.80"," 19,672.80 ",  ,24/08/2021,Aug,Q3,Logan Phillips,Montana,India,Profit
Government,CUST_ID_052,PROD_ID_002,Medium,"1,303.00",10,20,"26,060.00",1303,"24,757.00","13,030.00","11,727.00"," 11,727.00 ",  ,23/11/2022,Nov,Q4,Charlotte Martin,Paseo,France,Profit
Enterprise,CUST_ID_115,PROD_ID_002,Medium,"2,992.00",10,125,"374,000.00",18700,"355,300.00","359,040.00","-3,740.00",  ," 3,740.00 ",16/05/2022,May,Q2,Henry Garcia,Paseo,England,Loss
Enterprise,CUST_ID_051,PROD_ID_002,Medium,"2,385.00",10,125,"298,125.00",14906.25,"283,218.75","286,200.00","-2,981.25",  ," 2,981.25 ",13/01/2021,Jan,Q1,Logan Phillips,Paseo,England,Loss
Small Business,CUST_ID_003,PROD_ID_002,Medium,"1,607.00",10,300,"482,100.00",24105,"457,995.00","401,750.00","56,245.00"," 56,245.00 ",  ,03/03/2021,Mar,Q1,Noah Williams,Paseo,England,Profit
Government,CUST_ID_027,PROD_ID_002,Medium,"2,327.00",10,7,"16,289.00",814.45,"15,474.55","11,635.00","3,839.55"," 3,839.55 ",  ,25/03/2022,Mar,Q1,Michael Hill,Paseo,England,Profit
Small Business,CUST_ID_116,PROD_ID_002,Medium,991,10,300,"297,300.00",14865,"282,435.00","247,750.00","34,685.00"," 34,685.00 ",  ,07/10/2021,Oct,Q4,Amelia Phillips,Paseo,France,Profit
Government,CUST_ID_027,PROD_ID_002,Medium,602,10,350,"210,700.00",10535,"200,165.00","156,520.00","43,645.00"," 43,645.00 ",  ,21/11/2022,Nov,Q4,Michael Hill,Paseo,England,Profit
Midmarket,CUST_ID_002,PROD_ID_002,Medium,"2,620.00",10,15,"39,300.00",1965,"37,335.00","26,200.00","11,135.00"," 11,135.00 ",  ,31/01/2021,Jan,Q1,Emma Johnson,Paseo,Canada,Profit
Enterprise,CUST_ID_115,PROD_ID_002,Medium,861,10,125,"107,625.00",5381.25,"102,243.75","103,320.00","-1,076.25",  ," 1,076.25 ",17/07/2021,Jul,Q3,Henry Garcia,Paseo,England,Loss
Government,CUST_ID_027,PROD_ID_002,Medium,"2,663.00",10,20,"53,260.00",2663,"50,597.00","26,630.00","23,967.00"," 23,967.00 ",  ,20/01/2021,Jan,Q1,Michael Hill,Paseo,England,Profit
Midmarket,CUST_ID_135,PROD_ID_003,Medium,555,120,15,"8,325.00",416.25,"7,908.75","5,550.00","2,358.75"," 2,358.75 ",  ,03/10/2021,Oct,Q4,Logan Phillips,Velo,India,Profit
Midmarket,CUST_ID_091,PROD_ID_003,Medium,"2,861.00",120,15,"42,915.00",2145.75,"40,769.25","28,610.00","12,159.25"," 12,159.25 ",  ,20/07/2022,Jul,Q3,Henry Garcia,Velo,England,Profit
Enterprise,CUST_ID_029,PROD_ID_003,Medium,807,120,125,"100,875.00",5043.75,"95,831.25","96,840.00","-1,008.75",  ," 1,008.75 ",07/10/2022,Oct,Q4,Elijah Martin,Velo,Germany,Loss
Government,CUST_ID_041,PROD_ID_003,Medium,602,120,350,"210,700.00",10535,"200,165.00","156,520.00","43,645.00"," 43,645.00 ",  ,23/01/2022,Jan,Q1,Aiden Clark,Velo,USA,Profit
